No.,% Ball Retention,Name,Club,Age,Ratio to Team
1,95.80%,Joshua Kimmich,Bayern München (GER),29.6 yrs,19%
2,92.50%,Samuele Ricci,Torino FC (ITA),23.0 yrs,19%
3,92.20%,Rafael Carioca,Tigres UANL (MEX),35.2 yrs,20%
4,92.00%,Aurélien Tchouaméni,Real Madrid (ESP),24.6 yrs,18%
5,92.00%,Mario Dorgeles,FC Nordsjælland (DEN),20.1 yrs,11%
6,91.90%,Warren Zaïre-Emery,Paris St-Germain (FRA),18.5 yrs,13%
7,91.80%,Valentino Müller,WSG Tirol (AUT),25.6 yrs,29%
8,91.50%,Vitinha Ferreira,Paris St-Germain (FRA),24.6 yrs,13%
9,90.80%,Stanislav Lobotka,SSC Napoli (ITA),29.8 yrs,22%
10,90.20%,Zidan Sertdemir,FC Nordsjælland (DEN),19.6 yrs,9%
11,90.20%,Elisha Owusu,AJ Auxerre (FRA),26.8 yrs,19%
12,90.10%,Reda Belahyane,Hellas Verona (ITA),20.3 yrs,23%
13,90.10%,Kaan Kairinen,Sparta Praha (CZE),25.7 yrs,21%
14,90.10%,Pierre-Emile Höjbjerg,Olympique Marseille (FRA),29.1 yrs,12%
15,90.10%,Tomáš Rigo,Baník Ostrava (CZE),22.2 yrs,20%
16,90.10%,Enzo Millot,VfB Stuttgart (GER),22.1 yrs,14%
17,90.10%,André Trindade,Fluminense FC (BRA),23.1 yrs,16%
18,89.90%,Lincoln Oliveira,RB Bragantino (BRA),25.8 yrs,24%
19,89.90%,Dennis Dressel,Grazer AK (AUT),25.9 yrs,27%
20,89.90%,Jesper Ceesay,IFK Norrköping (SWE),22.9 yrs,20%
21,89.80%,Damian Dabrowski,Zaglebie Lubin (POL),32.0 yrs,26%
22,89.60%,Rubén González,Chivas Guadalajara (MEX),30.6 yrs,19%
23,89.40%,Jeppe Tverskov,FC Nordsjælland (DEN),31.5 yrs,8%
24,89.40%,Mateo Kovačić,Manchester City (ENG),30.3 yrs,6%
25,89.40%,Lucas Piazón,AVS Futebol (POR),30.6 yrs,27%
26,89.10%,Taichi Fukui,FC Arouca (POR),20.1 yrs,21%
27,89.00%,Caique Gonçalves,EC Juventude (BRA),28.9 yrs,18%
28,89.00%,Marc Roca,Real Betis (ESP),27.8 yrs,16%
29,88.90%,Nico González,FC Porto (POR),22.7 yrs,13%
30,88.90%,Atakan Karazor,VfB Stuttgart (GER),27.9 yrs,13%
31,88.70%,Petar Pušić,NK Osijek (CRO),25.6 yrs,21%
32,88.70%,Flynn Downes,Southampton FC (ENG),25.6 yrs,9%
33,88.50%,Granit Xhaka,Bayer Leverkusen (GER),31.9 yrs,11%
34,88.40%,Nemanja Matić,Olympique Lyonnais (FRA),36.1 yrs,20%
35,88.30%,Oleksandr Pikhalyonok,Dynamo Kyiv (UKR),27.3 yrs,13%
36,88.20%,Kevin Kampl,RB Leipzig (GER),33.9 yrs,9%
37,88.20%,Azor Matusiwa,Stade Rennais (FRA),26.4 yrs,21%
38,88.20%,Jerdy Schouten,PSV Eindhoven (NED),27.7 yrs,11%
39,88.00%,Mirko Topić,FC Famalicão (POR),23.6 yrs,21%
40,88.00%,Lasse Berg Johnsen,Malmö FF (SWE),25.1 yrs,10%
41,87.90%,Oscar Dorley,Slavia Praha (CZE),26.1 yrs,20%
42,87.90%,Uran Bislimi,FC Lugano (SUI),25.0 yrs,9%
43,87.90%,Djihad Bizimana,FK Kryvbas (UKR),27.7 yrs,23%
44,87.80%,Gilberto Mora,Club Tijuana (MEX),15.9 yrs,15%
45,87.70%,Ryan Sanusi,K Beerschot VA (BEL),32.7 yrs,18%
46,87.50%,Manfred Fischer,Austria Wien (AUT),29.1 yrs,20%
47,87.50%,Angelo Stiller,VfB Stuttgart (GER),23.4 yrs,11%
48,87.50%,Josip Mišić,Dinamo Zagreb (CRO),30.2 yrs,13%
49,87.50%,Alexis Mac Allister,Liverpool FC (ENG),25.7 yrs,11%
50,87.30%,Daniel Langhamer,Mladá Boleslav (CZE),21.5 yrs,20%
51,87.20%,Rasmus Falk,FC København (DEN),32.6 yrs,17%
52,87.10%,Markus Karlsson,Hammarby IF (SWE),20.6 yrs,11%
